Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
reparierenV,NA,Verb,0.511,0.29,0.221,485
siegenV,NA,Verb,0.572,0.351,0.221,486
WurzelN,Agriculture and vegetation,Noun,0.498,0.278,0.22,487
FreudeN,NA,Noun,0.468,0.248,0.22,488
KampfN,Warfare and hunting,Noun,0.507,0.287,0.22,489
verbergenV,NA,Verb,0.45,0.232,0.218,490
verbrennenV,The physical world,Verb,0.444,0.226,0.218,491
vergehenV,NA,Verb,0.47,0.252,0.217,492
SonntagN,Time,Noun,0.529,0.312,0.217,493
FadenN,Clothing and grooming,Noun,0.574,0.356,0.217,494
MorgenN,Time,Noun,0.533,0.317,0.216,495
gesternADV,Time,Adverb,0.47,0.255,0.215,496
LiedN,Modern world,Noun,0.438,0.224,0.214,497
sauerA,Sense perception,Adjective,0.56,0.346,0.214,498
zuruckkommenV,Motion,Verb,0.465,0.252,0.213,499
schmelzenV,NA,Verb,0.425,0.211,0.213,500
hellA,Sense perception,Adjective,0.455,0.242,0.213,501
FellN,Clothing and grooming,Noun,0.464,0.252,0.212,502
EichhornchenN,Animals,Noun,0.448,0.237,0.211,503
TonN,NA,Noun,0.807,0.596,0.211,504
liebA,NA,Adjective,0.507,0.297,0.21,505
LastN,NA,Noun,0.485,0.275,0.21,506
konnenV,NA,Verb,0.444,0.235,0.21,507
GewaltN,NA,Noun,0.424,0.214,0.209,508
aufhangenV,Basic actions and technology,Verb,0.508,0.299,0.209,509
suA,Sense perception,Adjective,0.488,0.28,0.208,510
DonnerN,The physical world,Noun,0.433,0.225,0.208,511
WiegeN,NA,Noun,0.535,0.328,0.207,512
LehrerN,Cognition,Noun,0.553,0.346,0.207,513
GoldN,Basic actions and technology,Noun,0.675,0.468,0.207,514
zubereitenV,Food and drink,Verb,0.462,0.255,0.207,515
schickenV,Motion,Verb,0.489,0.282,0.206,516
KammN,Clothing and grooming,Noun,0.645,0.439,0.205,517
diesPRN,Miscellaneous function words,Pronoun,0.477,0.272,0.204,518
PferdN,Animals,Noun,0.473,0.269,0.204,519
RiemenN,NA,Noun,0.665,0.462,0.204,520
GegenstandN,NA,Noun,0.493,0.29,0.203,521
MeisterN,NA,Noun,0.837,0.635,0.202,522
wirPRN,Kinship,Pronoun,0.836,0.635,0.201,523
fremdA,NA,Adjective,0.595,0.394,0.201,524
allesPRN,Quantity,Pronoun,0.425,0.224,0.201,525
hebenV,NA,Verb,0.436,0.236,0.2,526
