Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
tunV,Basic actions and technology,Verb,0.469,0.464,0.004,961
TascheN,NA,Noun,0.425,0.428,-0.002,962
SchnurrbartN,NA,Noun,0.574,0.577,-0.003,963
GegendN,NA,Noun,0.419,0.428,-0.009,964
verderbenV,NA,Verb,0.558,0.568,-0.01,965
AbhangN,The physical world,Noun,0.355,0.366,-0.011,966
SkiN,NA,Noun,0.436,0.45,-0.013,967
nurADV,Quantity,Adverb,0.443,0.457,-0.014,968
SpatenN,Agriculture and vegetation,Noun,0.608,0.635,-0.026,969
LagerfeuerN,NA,Noun,0.513,0.54,-0.027,970
AprilN,NA,Noun,0.483,0.512,-0.029,971
nochADV,NA,Adverb,0.545,0.574,-0.029,972
EntfernungN,NA,Noun,0.566,0.605,-0.039,973
StaatN,NA,Noun,0.503,0.546,-0.043,974
WocheN,Time,Noun,0.551,0.595,-0.044,975
ichPRN,Kinship,Pronoun,0.355,0.399,-0.045,976
ZaunN,Agriculture and vegetation,Noun,0.542,0.59,-0.048,977
FehlerN,Emotions and values,Noun,0.561,0.615,-0.054,978
nebenPRP,NA,Preposition,0.352,0.409,-0.057,979
VolkN,Social and political relations,Noun,0.561,0.618,-0.057,980
anhaltenV,NA,Verb,0.551,0.608,-0.058,981
FeuerN,The physical world,Noun,0.546,0.604,-0.058,982
StiefelN,Clothing and grooming,Noun,0.389,0.451,-0.062,983
ZeichenN,NA,Noun,0.526,0.593,-0.067,984
beherrschenV,Social and political relations,Verb,0.475,0.547,-0.072,985
BruckeN,Motion,Noun,0.625,0.7,-0.075,986
KummerN,Emotions and values,Noun,0.465,0.543,-0.078,987
TorN,NA,Noun,0.543,0.625,-0.082,988
MeisterN,NA,Noun,0.416,0.502,-0.086,989
RaureifN,NA,Noun,0.437,0.531,-0.094,990
OlN,Food and drink,Noun,0.397,0.492,-0.095,991
UngluckN,Emotions and values,Noun,0.456,0.572,-0.116,992
EimerN,NA,Noun,0.395,0.518,-0.122,993
ChefN,NA,Noun,0.366,0.488,-0.123,994
TeeN,Modern world,Noun,0.253,0.389,-0.136,995
ruttelnV,NA,Verb,0.312,0.451,-0.14,996
ZeitungN,Modern world,Noun,0.374,0.515,-0.141,997
AugustN,NA,Noun,0.345,0.496,-0.151,998
GewehrN,Warfare and hunting,Noun,0.459,0.617,-0.158,999
malenV,Basic actions and technology,Verb,0.41,0.577,-0.167,1000
DeckeN,The house,Noun,0.429,0.6,-0.171,1001
DonnerstagN,Time,Noun,0.514,0.685,-0.171,1002
hubschA,NA,Adjective,0.333,0.527,-0.194,1003
JuniN,NA,Noun,0.359,0.567,-0.208,1004
TopfN,Food and drink,Noun,0.469,0.682,-0.213,1005
SeptemberN,NA,Noun,0.32,0.556,-0.236,1006
BandN,NA,Noun,0.34,0.586,-0.246,1007
DezemberN,NA,Noun,0.27,0.544,-0.274,1008
KisteN,NA,Noun,0.336,0.623,-0.287,1009
NovemberN,NA,Noun,0.243,0.532,-0.289,1010
JanuarN,NA,Noun,0.247,0.556,-0.309,1011
OktoberN,NA,Noun,0.247,0.567,-0.321,1012
JuliN,NA,Noun,0.266,0.601,-0.335,1013
MaiN,NA,Noun,0.202,0.569,-0.368,1014
