Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
diesPRN,Miscellaneous function words,Pronoun,0.453,0.193,0.259,535
VogelN,Animals,Noun,0.647,0.388,0.259,536
jungA,Time,Adjective,0.592,0.333,0.259,537
AbendN,Time,Noun,0.516,0.258,0.258,538
leitenV,Motion,Verb,0.501,0.243,0.258,539
aufhorenV,NA,Verb,0.585,0.328,0.257,540
HohleN,The physical world,Noun,0.579,0.323,0.257,541
KriegN,NA,Noun,0.563,0.306,0.256,542
GipfelN,NA,Noun,0.521,0.265,0.256,543
KranichN,NA,Noun,0.602,0.346,0.256,544
schreitenV,NA,Verb,0.444,0.188,0.255,545
WegN,NA,Noun,0.595,0.339,0.255,546
FunkeN,NA,Noun,0.591,0.337,0.255,547
GlasN,Basic actions and technology,Noun,0.651,0.397,0.255,548
PferdN,Animals,Noun,0.407,0.153,0.254,549
KleidungN,Clothing and grooming,Noun,0.552,0.298,0.254,550
AnhoheN,NA,Noun,0.437,0.183,0.254,551
ziehenV,Basic actions and technology,Verb,0.555,0.301,0.254,552
siebenNUM,Quantity,Numerical,0.505,0.251,0.254,553
GrabN,The body,Noun,0.578,0.325,0.253,554
TeilN,Quantity,Noun,0.653,0.401,0.253,555
WocheN,Time,Noun,0.607,0.357,0.25,556
kletternV,Motion,Verb,0.438,0.189,0.249,557
PfeilN,Warfare and hunting,Noun,0.65,0.401,0.249,558
GeschmackN,NA,Noun,0.672,0.424,0.248,559
spitzA,Spatial relations,Adjective,0.512,0.264,0.248,560
erPRN,Kinship,Pronoun,0.507,0.261,0.245,561
rauschenV,NA,Verb,0.397,0.153,0.245,562
gelbA,Sense perception,Adjective,0.621,0.377,0.244,563
LeuteN,NA,Noun,0.582,0.339,0.244,564
BuchstabeN,NA,Noun,0.679,0.436,0.243,565
redenV,NA,Verb,0.415,0.173,0.242,566
BuchN,Speech and language,Noun,0.74,0.498,0.242,567
BrunnenN,NA,Noun,0.69,0.447,0.242,568
SundeN,NA,Noun,0.705,0.463,0.242,569
fallenlassenV,NA,Verb,0.433,0.192,0.241,570
bewahrenV,Possession,Verb,0.47,0.229,0.241,571
danachADV,NA,Adverb,0.409,0.168,0.241,572
StangeN,NA,Noun,0.58,0.339,0.241,573
KralleN,The body,Noun,0.598,0.357,0.24,574
aufhebenV,Spatial relations,Verb,0.477,0.237,0.24,575
NestN,Animals,Noun,0.651,0.411,0.24,576
AderN,NA,Noun,0.641,0.401,0.24,577
sinkenV,NA,Verb,0.434,0.194,0.24,578
schieenV,Warfare and hunting,Verb,0.594,0.355,0.239,579
horenV,Sense perception,Verb,0.663,0.425,0.238,580
HahnN,Animals,Noun,0.597,0.361,0.237,581
KonigN,Social and political relations,Noun,0.634,0.397,0.237,582
WurzelN,Agriculture and vegetation,Noun,0.585,0.349,0.236,583
siePRN,Kinship,Pronoun,0.411,0.175,0.236,584
andernV,Spatial relations,Verb,0.48,0.246,0.235,585
dritterA,Quantity,Adjective,0.677,0.442,0.234,586
umruhrenV,NA,Verb,0.417,0.182,0.234,587
SacheN,Possession,Noun,0.436,0.202,0.234,588
TierN,Animals,Noun,0.647,0.414,0.233,589
ausziehenV,NA,Verb,0.418,0.185,0.233,590
umdrehenV,NA,Verb,0.433,0.201,0.233,591
LandN,Social and political relations,Noun,0.62,0.388,0.233,592
MagenN,The body,Noun,0.693,0.462,0.231,593
StromungN,NA,Noun,0.724,0.495,0.23,594
FrauN,Kinship,Noun,0.442,0.212,0.23,595
rechnenV,NA,Verb,0.66,0.431,0.23,596
wohnenV,The house,Verb,0.456,0.227,0.229,597
HandflacheN,The body,Noun,0.615,0.385,0.229,598
TanteN,Kinship,Noun,0.503,0.275,0.228,599
ZweigN,NA,Noun,0.518,0.29,0.227,600
blindA,The body,Adjective,0.707,0.48,0.227,601
StraeN,Motion,Noun,0.511,0.283,0.227,602
reibenV,Basic actions and technology,Verb,0.472,0.245,0.227,603
behindernV,NA,Verb,0.503,0.277,0.226,604
probierenV,Sense perception,Verb,0.513,0.287,0.226,605
geizigA,Possession,Adjective,0.429,0.204,0.225,606
SpiegelN,Clothing and grooming,Noun,0.608,0.384,0.224,607
zweiterA,Quantity,Adjective,0.432,0.208,0.224,608
suchenV,Possession,Verb,0.501,0.277,0.224,609
besitzenV,Possession,Verb,0.445,0.221,0.224,610
vorbereitenV,NA,Verb,0.628,0.405,0.223,611
WeideBaumN,NA,Noun,0.517,0.294,0.223,612
SudenN,Spatial relations,Noun,0.66,0.437,0.223,613
liebA,NA,Adjective,0.479,0.256,0.223,614
bleibenV,Spatial relations,Verb,0.542,0.319,0.223,615
larmenV,NA,Verb,0.481,0.258,0.223,616
ScheibeN,NA,Noun,0.448,0.226,0.222,617
fahrenV,NA,Verb,0.447,0.225,0.221,618
MittagN,Time,Noun,0.57,0.348,0.221,619
auswahlenV,NA,Verb,0.485,0.264,0.221,620
NahrungN,Food and drink,Noun,0.413,0.192,0.221,621
BartN,The body,Noun,0.591,0.37,0.221,622
scheinenSonneV,Sense perception,Verb,0.544,0.323,0.221,623
BreiN,NA,Noun,0.535,0.314,0.22,624
mogenV,NA,Verb,0.406,0.186,0.22,625
GansN,Animals,Noun,0.682,0.464,0.218,626
andererA,Miscellaneous function words,Adjective,0.382,0.164,0.218,627
ankommenV,Motion,Verb,0.442,0.224,0.218,628
GromutterN,Kinship,Noun,0.461,0.243,0.217,629
liebenV,Emotions and values,Verb,0.602,0.386,0.216,630
schuttelnV,Motion,Verb,0.536,0.32,0.216,631
ElchN,Animals,Noun,0.682,0.466,0.216,632
altLebewesenA,NA,Adjective,0.406,0.19,0.216,633
SchnurN,NA,Noun,0.619,0.405,0.214,634
taubA,The body,Adjective,0.667,0.453,0.214,635
aufeinmalADV,NA,Adverb,0.382,0.168,0.214,636
FeindN,Social and political relations,Noun,0.673,0.46,0.214,637
SchlussN,Time,Noun,0.536,0.323,0.213,638
BusenN,The body,Noun,0.441,0.228,0.213,639
sicherholenV,The body,Verb,0.471,0.259,0.212,640
GenickN,The body,Noun,0.525,0.315,0.21,641
GroeN,NA,Noun,0.483,0.273,0.21,642
werfenV,Motion,Verb,0.375,0.165,0.21,643
rudernV,Motion,Verb,0.659,0.449,0.21,644
glattA,Sense perception,Adjective,0.48,0.271,0.209,645
festA,NA,Adjective,0.508,0.299,0.209,646
trocknenV,NA,Verb,0.449,0.24,0.209,647
bittenV,Speech and language,Verb,0.399,0.19,0.209,648
starkA,The body,Adjective,0.554,0.345,0.208,649
zwischenPRP,NA,Preposition,0.498,0.29,0.208,650
dorthinADV,NA,Adverb,0.384,0.176,0.208,651
sichtrennenV,NA,Verb,0.567,0.359,0.208,652
SchwarmN,NA,Noun,0.471,0.264,0.207,653
BeinN,The body,Noun,0.485,0.279,0.206,654
GeschirrN,NA,Noun,0.496,0.291,0.205,655
MutterN,Kinship,Noun,0.476,0.271,0.205,656
SuppeN,Food and drink,Noun,0.601,0.396,0.204,657
frischA,NA,Adjective,0.623,0.42,0.203,658
feinA,NA,Adjective,0.511,0.309,0.202,659
zerreienV,NA,Verb,0.413,0.211,0.202,660
obenADV,Spatial relations,Adverb,0.405,0.203,0.202,661
verbrennenV,The physical world,Verb,0.551,0.349,0.202,662
dasPRN,Miscellaneous function words,Pronoun,0.362,0.16,0.202,663
hinabADV,Spatial relations,Adverb,0.358,0.156,0.202,664
BulleN,Animals,Noun,0.686,0.485,0.2,665
tragenV,Motion,Verb,0.494,0.294,0.2,666
LuftN,The physical world,Noun,0.596,0.397,0.199,667
jagenV,Warfare and hunting,Verb,0.573,0.375,0.199,668
