Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
SchaufelN,Agriculture and vegetation,Noun,0.585,0.519,0.066,788
DezemberN,NA,Noun,0.531,0.466,0.066,789
OnkelN,Kinship,Noun,0.419,0.354,0.065,790
schutzenV,NA,Verb,0.31,0.246,0.065,791
KindN,Kinship,Noun,0.319,0.254,0.065,792
AprilN,NA,Noun,0.689,0.625,0.064,793
betrugenV,Cognition,Verb,0.307,0.243,0.064,794
tausendNUM,Quantity,Numerical,0.655,0.592,0.063,795
NahrungN,Food and drink,Noun,0.304,0.242,0.062,796
JanuarN,NA,Noun,0.655,0.593,0.062,797
GetreideN,Agriculture and vegetation,Noun,0.349,0.288,0.062,798
kuhlA,NA,Adjective,0.298,0.237,0.061,799
besuchenV,NA,Verb,0.304,0.242,0.061,800
MaiN,NA,Noun,0.596,0.535,0.061,801
ArzneiN,The body,Noun,0.428,0.369,0.059,802
AngelegenheitN,NA,Noun,0.355,0.297,0.058,803
schlankA,NA,Adjective,0.316,0.258,0.058,804
FreitagN,Time,Noun,0.617,0.559,0.058,805
hackenV,Basic actions and technology,Verb,0.353,0.296,0.057,806
wohnenV,The house,Verb,0.346,0.29,0.056,807
klirrenV,NA,Verb,0.349,0.293,0.056,808
GesprachN,NA,Noun,0.289,0.235,0.054,809
KanteN,Spatial relations,Noun,0.347,0.293,0.054,810
abwischenV,Basic actions and technology,Verb,0.334,0.281,0.053,811
wahrA,Emotions and values,Adjective,0.377,0.324,0.053,812
ZeichenN,NA,Noun,0.538,0.485,0.053,813
mogenV,NA,Verb,0.287,0.235,0.052,814
sanftA,NA,Adjective,0.337,0.286,0.052,815
GeschirrN,NA,Noun,0.313,0.261,0.051,816
fassenV,NA,Verb,0.395,0.344,0.051,817
DachN,The house,Noun,0.367,0.317,0.05,818
pfluckenV,NA,Verb,0.287,0.238,0.049,819
einstADV,NA,Adverb,0.302,0.253,0.049,820
schmutzigA,Sense perception,Adjective,0.31,0.261,0.049,821
verbessernV,NA,Verb,0.302,0.254,0.048,822
